delta,lambda,C,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.025,200,1,25 (2.59),0 (0),475 (2.59),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.025,200,2,33 (3.91),0 (0),467 (3.91),0.07 (0.01),1 (0),0.25 (0.01),0.23 (0.01),0.12 (0.01)
0.025,200,3,29 (2.17),0 (0),471 (2.17),0.06 (0),1 (0),0.24 (0.01),0.22 (0.01),0.11 (0.01)
0.025,200,4,27 (1.41),0 (0),473 (1.41),0.05 (0),1 (0),0.23 (0),0.21 (0.01),0.1 (0.01)
0.025,200,5,24 (2.19),0 (0),476 (2.19),0.05 (0),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.025,250,1,18 (4.51),0 (0),482 (4.51),0.04 (0.01),1 (0),0.21 (0.01),0.17 (0.02),0.07 (0.02)
0.025,250,2,30 (4.32),0 (0),470 (4.32),0.06 (0.01),1 (0),0.24 (0.01),0.22 (0.02),0.11 (0.02)
0.025,250,3,32 (3.96),0 (0),468 (3.96),0.06 (0.01),1 (0),0.25 (0.01),0.23 (0.01),0.12 (0.01)
0.025,250,4,29 (1.34),0 (0),471 (1.34),0.06 (0),1 (0),0.24 (0),0.22 (0.01),0.11 (0.01)
0.025,250,5,27 (1.48),0 (0),473 (1.48),0.05 (0),1 (0),0.24 (0),0.21 (0.01),0.1 (0.01)
0.025,500,1,8 (2.51),0 (0),492 (2.51),0.02 (0.01),1 (0),0.19 (0.01),0.12 (0.02),0.03 (0.01)
0.025,500,2,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,500,3,26 (4.98),0 (0),474 (4.98),0.05 (0.01),1 (0),0.23 (0.01),0.21 (0.02),0.1 (0.02)
0.025,500,4,30 (4.32),0 (0),470 (4.32),0.06 (0.01),1 (0),0.24 (0.01),0.22 (0.02),0.11 (0.02)
0.025,500,5,32 (4.34),0 (0.45),468 (4.34),0.06 (0.01),0.99 (0.01),0.25 (0.01),0.23 (0.02),0.12 (0.02)
0.025,750,1,4 (0.45),0 (0),496 (0.45),0.01 (0),1 (0),0.18 (0),0.08 (0),0.02 (0)
0.025,750,2,14 (2.17),0 (0.45),486 (2.17),0.03 (0),0.98 (0.04),0.2 (0.01),0.15 (0.01),0.05 (0.01)
0.025,750,3,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,750,4,25 (4.09),0 (0),475 (4.09),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.02),0.1 (0.02)
0.025,750,5,27 (4.15),0 (0),473 (4.15),0.05 (0.01),1 (0),0.23 (0.01),0.21 (0.02),0.1 (0.02)
0.025,1e3,1,3 (0.84),0 (0),497 (0.84),0.01 (0),1 (0),0.17 (0),0.07 (0.01),0.01 (0)
0.025,1e3,2,8 (2.51),0 (0),492 (2.51),0.02 (0.01),1 (0),0.19 (0.01),0.12 (0.02),0.03 (0.01)
0.025,1e3,3,16 (2.59),0 (0),484 (2.59),0.03 (0.01),1 (0),0.21 (0.01),0.16 (0.01),0.06 (0.01)
0.025,1e3,4,19 (4.72),0 (0),481 (4.72),0.04 (0.01),1 (0),0.21 (0.01),0.18 (0.02),0.07 (0.02)
0.025,1e3,5,25 (2.83),0 (0),475 (2.83),0.05 (0.01),1 (0),0.23 (0.01),0.2 (0.01),0.09 (0.01)
0.05,200,1,153 (11.34),4 (0.84),347 (11.34),0.31 (0.02),0.98 (0.01),0.48 (0.02),0.51 (0.02),0.46 (0.03)
0.05,200,2,178 (9.78),3 (1.22),322 (9.78),0.36 (0.02),0.98 (0.01),0.52 (0.02),0.56 (0.02),0.52 (0.02)
0.05,200,3,174 (7.12),2 (1.1),326 (7.12),0.35 (0.01),0.99 (0.01),0.52 (0.01),0.55 (0.01),0.51 (0.02)
0.05,200,4,166 (8.05),1 (1.14),334 (8.05),0.33 (0.02),0.99 (0.01),0.51 (0.01),0.54 (0.02),0.5 (0.02)
0.05,200,5,167 (8.73),1 (0.89),333 (8.73),0.33 (0.02),0.99 (0.01),0.51 (0.02),0.54 (0.02),0.5 (0.02)
0.05,250,1,141 (10.83),3 (1.34),359 (10.83),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.44 (0.03)
0.05,250,2,172 (8.34),3 (1.95),328 (8.34),0.34 (0.02),0.98 (0.01),0.51 (0.01),0.54 (0.02),0.51 (0.02)
0.05,250,3,177 (8.01),2 (0.84),323 (8.01),0.35 (0.02),0.99 (0),0.52 (0.01),0.55 (0.01),0.52 (0.02)
0.05,250,4,173 (7.92),2 (1.1),327 (7.92),0.35 (0.02),0.99 (0.01),0.52 (0.01),0.55 (0.01),0.51 (0.02)
0.05,250,5,168 (8.26),1 (1.14),332 (8.26),0.34 (0.02),0.99 (0.01),0.51 (0.01),0.54 (0.02),0.5 (0.02)
0.05,500,1,93 (8.08),2 (1.34),407 (8.08),0.19 (0.02),0.98 (0.01),0.37 (0.02),0.39 (0.02),0.31 (0.02)
0.05,500,2,140 (11.39),3 (1.3),360 (11.39),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,500,3,163 (10.08),4 (0.84),337 (10.08),0.33 (0.02),0.98 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02)
0.05,500,4,172 (8.62),3 (1.95),328 (8.62),0.34 (0.02),0.98 (0.01),0.51 (0.01),0.54 (0.02),0.51 (0.02)
0.05,500,5,178 (9.63),3 (1.22),322 (9.63),0.36 (0.02),0.98 (0.01),0.52 (0.02),0.55 (0.02),0.52 (0.02)
0.05,750,1,69 (7.01),1 (1.22),431 (7.01),0.14 (0.01),0.99 (0.02),0.32 (0.02),0.34 (0.02),0.24 (0.02)
0.05,750,2,115 (12.99),3 (2.41),385 (12.99),0.23 (0.03),0.98 (0.02),0.41 (0.03),0.44 (0.03),0.37 (0.03)
0.05,750,3,140 (11.63),3 (1.3),360 (11.63),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,750,4,156 (9.43),4 (1.1),344 (9.43),0.31 (0.02),0.98 (0.01),0.48 (0.02),0.51 (0.02),0.47 (0.02)
0.05,750,5,166 (8.53),4 (1.1),334 (8.53),0.33 (0.02),0.98 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02)
0.05,1e3,1,52 (5.85),1 (0.84),448 (5.85),0.1 (0.01),0.98 (0.02),0.29 (0.01),0.29 (0.02),0.18 (0.02)
0.05,1e3,2,93 (8.77),2 (1.34),407 (8.77),0.19 (0.02),0.98 (0.01),0.37 (0.02),0.39 (0.02),0.31 (0.03)
0.05,1e3,3,123 (11.82),3 (2.17),377 (11.82),0.25 (0.02),0.98 (0.02),0.43 (0.02),0.45 (0.03),0.39 (0.03)
0.05,1e3,4,140 (11.63),3 (1.3),360 (11.63),0.28 (0.02),0.98 (0.01),0.46 (0.02),0.49 (0.02),0.43 (0.03)
0.05,1e3,5,153 (11.41),4 (1.52),347 (11.41),0.31 (0.02),0.97 (0.01),0.48 (0.02),0.51 (0.02),0.46 (0.03)
0.1,200,1,284 (9.76),9 (1.67),216 (9.76),0.57 (0.02),0.97 (0.01),0.69 (0.01),0.71 (0.01),0.72 (0.02)
0.1,200,2,317 (9.68),8 (3.67),183 (9.68),0.63 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.02)
0.1,200,3,319 (11.12),5 (2.55),181 (11.12),0.64 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.02)
0.1,200,4,316 (12.4),4 (2.45),184 (12.4),0.63 (0.02),0.99 (0.01),0.74 (0.02),0.76 (0.02),0.77 (0.02)
0.1,200,5,315 (12.14),2 (1.34),185 (12.14),0.63 (0.02),0.99 (0),0.74 (0.02),0.76 (0.02),0.77 (0.02)
0.1,250,1,266 (11.9),9 (0.84),234 (11.9),0.53 (0.02),0.97 (0),0.66 (0.02),0.68 (0.02),0.68 (0.02)
0.1,250,2,313 (7.79),9 (3.11),187 (7.79),0.63 (0.02),0.97 (0.01),0.73 (0.01),0.75 (0.01),0.76 (0.01)
0.1,250,3,322 (8.46),7 (2.39),178 (8.46),0.64 (0.02),0.98 (0.01),0.74 (0.01),0.76 (0.01),0.78 (0.01)
0.1,250,4,324 (11.48),5 (2.35),176 (11.48),0.65 (0.02),0.98 (0.01),0.75 (0.02),0.77 (0.02),0.78 (0.02)
0.1,250,5,323 (12.14),4 (2.17),177 (12.14),0.65 (0.02),0.99 (0.01),0.75 (0.02),0.77 (0.02),0.78 (0.02)
0.1,500,1,192 (6.06),6 (2.95),308 (6.06),0.38 (0.01),0.97 (0.01),0.54 (0.01),0.57 (0.01),0.55 (0.01)
0.1,500,2,268 (13.37),10 (1.48),232 (13.37),0.54 (0.03),0.97 (0),0.66 (0.02),0.68 (0.02),0.69 (0.02)
0.1,500,3,302 (10.47),8 (2.3),198 (10.47),0.6 (0.02),0.97 (0.01),0.71 (0.02),0.73 (0.01),0.74 (0.02)
0.1,500,4,318 (7.35),9 (3.11),182 (7.35),0.64 (0.01),0.97 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.01)
0.1,500,5,326 (9.29),8 (3.35),174 (9.29),0.65 (0.02),0.98 (0.01),0.75 (0.01),0.77 (0.01),0.78 (0.01)
0.1,750,1,153 (3.54),4 (1.52),347 (3.54),0.31 (0.01),0.98 (0.01),0.48 (0.01),0.51 (0.01),0.46 (0.01)
0.1,750,2,222 (9.29),6 (3.44),278 (9.29),0.44 (0.02),0.97 (0.01),0.59 (0.02),0.62 (0.02),0.6 (0.02)
0.1,750,3,269 (13.06),10 (1.22),231 (13.06),0.54 (0.03),0.96 (0),0.66 (0.02),0.68 (0.02),0.69 (0.02)
0.1,750,4,297 (8.56),9 (1.82),203 (8.56),0.59 (0.02),0.97 (0.01),0.7 (0.01),0.72 (0.01),0.73 (0.01)
0.1,750,5,310 (9.76),9 (2.39),190 (9.76),0.62 (0.02),0.97 (0.01),0.73 (0.01),0.74 (0.01),0.75 (0.01)
0.1,1e3,1,130 (1.95),4 (0.89),370 (1.95),0.26 (0),0.97 (0.01),0.44 (0),0.47 (0),0.41 (0.01)
0.1,1e3,2,192 (5.55),6 (2.95),308 (5.55),0.38 (0.01),0.97 (0.01),0.54 (0.01),0.57 (0.01),0.55 (0.01)
0.1,1e3,3,236 (9.15),8 (1.52),264 (9.15),0.47 (0.02),0.97 (0.01),0.61 (0.02),0.64 (0.01),0.63 (0.02)
0.1,1e3,4,270 (12.68),10 (1.22),230 (12.68),0.54 (0.03),0.97 (0),0.66 (0.02),0.68 (0.02),0.69 (0.02)
0.1,1e3,5,292 (9.13),10 (2),208 (9.13),0.58 (0.02),0.97 (0.01),0.7 (0.02),0.72 (0.01),0.73 (0.01)
0.15,200,1,323 (9.66),11 (2.12),177 (9.66),0.65 (0.02),0.97 (0.01),0.75 (0.02),0.76 (0.01),0.77 (0.01)
0.15,200,2,359 (6.58),10 (3.03),141 (6.58),0.72 (0.01),0.97 (0.01),0.8 (0.01),0.81 (0.01),0.83 (0.01)
0.15,200,3,361 (5.94),8 (3.05),139 (5.94),0.72 (0.01),0.98 (0.01),0.8 (0.01),0.82 (0.01),0.83 (0.01)
0.15,200,4,362 (6.66),6 (3.36),138 (6.66),0.72 (0.01),0.98 (0.01),0.8 (0.01),0.82 (0.01),0.83 (0.01)
0.15,200,5,361 (7.66),4 (2.35),139 (7.66),0.72 (0.02),0.99 (0.01),0.81 (0.01),0.82 (0.01),0.83 (0.01)
0.15,250,1,308 (6.84),11 (1.87),192 (6.84),0.62 (0.01),0.97 (0.01),0.72 (0.02),0.74 (0.01),0.75 (0.01)
0.15,250,2,357 (7.78),11 (3.49),143 (7.78),0.71 (0.02),0.97 (0.01),0.79 (0.01),0.81 (0.01),0.82 (0.01)
0.15,250,3,366 (9.39),9 (3.05),134 (9.39),0.73 (0.02),0.98 (0.01),0.8 (0.02),0.82 (0.01),0.84 (0.01)
0.15,250,4,371 (8.2),7 (3.08),129 (8.2),0.74 (0.02),0.98 (0.01),0.81 (0.02),0.83 (0.01),0.84 (0.01)
0.15,250,5,372 (7.37),6 (3.36),128 (7.37),0.74 (0.01),0.99 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.15,500,1,238 (8.05),11 (1.14),262 (8.05),0.48 (0.02),0.96 (0.01),0.61 (0.02),0.64 (0.01),0.63 (0.01)
0.15,500,2,314 (6.77),13 (3.27),186 (6.77),0.63 (0.01),0.96 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,500,3,348 (5.81),13 (3.51),152 (5.81),0.7 (0.01),0.97 (0.01),0.78 (0.01),0.79 (0.01),0.81 (0.01)
0.15,500,4,366 (6.69),11 (3.49),134 (6.69),0.73 (0.01),0.97 (0.01),0.8 (0.01),0.82 (0.01),0.83 (0.01)
0.15,500,5,376 (6.69),10 (3.03),124 (6.69),0.75 (0.01),0.98 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.15,750,1,195 (5.96),7 (2),305 (5.96),0.39 (0.01),0.97 (0.01),0.54 (0.01),0.57 (0.01),0.55 (0.01)
0.15,750,2,270 (6.91),11 (1.64),230 (6.91),0.54 (0.01),0.96 (0.01),0.66 (0.02),0.68 (0.01),0.69 (0.01)
0.15,750,3,314 (5.96),13 (2.88),186 (5.96),0.63 (0.01),0.96 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,750,4,342 (5.37),14 (3.51),158 (5.37),0.68 (0.01),0.96 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.15,750,5,357 (5.81),13 (3.13),143 (5.81),0.71 (0.01),0.97 (0.01),0.79 (0.01),0.8 (0.01),0.82 (0.01)
0.15,1e3,1,167 (10.17),6 (2.51),333 (10.17),0.33 (0.02),0.97 (0.01),0.5 (0.02),0.53 (0.02),0.49 (0.02)
0.15,1e3,2,238 (8.47),11 (1.3),262 (8.47),0.48 (0.02),0.96 (0.01),0.61 (0.02),0.64 (0.01),0.63 (0.02)
0.15,1e3,3,283 (4.45),11 (3.03),217 (4.45),0.57 (0.01),0.96 (0.01),0.68 (0.01),0.7 (0.01),0.71 (0.01)
0.15,1e3,4,315 (5.15),14 (3.13),185 (5.15),0.63 (0.01),0.96 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,1e3,5,339 (7.27),14 (3.11),161 (7.27),0.68 (0.01),0.96 (0.01),0.76 (0.02),0.78 (0.01),0.79 (0.01)
0.2,200,1,335 (7.37),11 (2.17),165 (7.37),0.67 (0.01),0.97 (0.01),0.76 (0.01),0.78 (0.01),0.79 (0.01)
0.2,200,2,363 (7.64),10 (3.16),137 (7.64),0.73 (0.02),0.97 (0.01),0.8 (0.01),0.82 (0.01),0.83 (0.01)
0.2,200,3,368 (7.04),7 (3.03),132 (7.04),0.74 (0.01),0.98 (0.01),0.81 (0.01),0.83 (0.01),0.84 (0.01)
0.2,200,4,367 (6.87),5 (2.79),133 (6.87),0.73 (0.01),0.99 (0.01),0.81 (0.01),0.83 (0.01),0.84 (0.01)
0.2,200,5,370 (6.06),4 (2.28),130 (6.06),0.74 (0.01),0.99 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.2,250,1,321 (7.64),12 (2.7),179 (7.64),0.64 (0.02),0.96 (0.01),0.74 (0.01),0.76 (0.01),0.77 (0.01)
0.2,250,2,365 (7.63),12 (3.74),135 (7.63),0.73 (0.02),0.97 (0.01),0.8 (0.01),0.82 (0.01),0.83 (0.01)
0.2,250,3,375 (7.64),9 (3.36),125 (7.64),0.75 (0.02),0.98 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.2,250,4,379 (4.56),6 (3.21),121 (4.56),0.76 (0.01),0.98 (0.01),0.82 (0.01),0.84 (0.01),0.86 (0.01)
0.2,250,5,381 (6.53),6 (2.51),119 (6.53),0.76 (0.01),0.99 (0.01),0.83 (0.01),0.85 (0.01),0.86 (0.01)
0.2,500,1,254 (7.5),13 (1.79),246 (7.5),0.51 (0.02),0.95 (0.01),0.64 (0.01),0.66 (0.01),0.66 (0.01)
0.2,500,2,329 (3.83),14 (3.56),171 (3.83),0.66 (0.01),0.96 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.2,500,3,361 (3.03),14 (4.28),139 (3.03),0.72 (0.01),0.96 (0.01),0.79 (0.01),0.81 (0.01),0.82 (0.01)
0.2,500,4,376 (5.15),12 (3.74),124 (5.15),0.75 (0.01),0.97 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.2,500,5,385 (5.79),10 (2.86),115 (5.79),0.77 (0.01),0.97 (0.01),0.83 (0.01),0.84 (0.01),0.86 (0.01)
0.2,750,1,236 (5.81),9 (1.87),264 (5.81),0.47 (0.01),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.01)
0.2,750,2,286 (7.12),13 (2.35),214 (7.12),0.57 (0.01),0.96 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.2,750,3,330 (3.9),14 (3.11),170 (3.9),0.66 (0.01),0.96 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.2,750,4,356 (3.36),14 (3.81),144 (3.36),0.71 (0.01),0.96 (0.01),0.79 (0.01),0.8 (0.01),0.82 (0.01)
0.2,750,5,371 (4.62),13 (3.56),129 (4.62),0.74 (0.01),0.97 (0.01),0.81 (0.01),0.82 (0.01),0.84 (0.01)
0.2,1e3,1,221 (6.16),8 (3.27),279 (6.16),0.44 (0.01),0.97 (0.01),0.59 (0.01),0.61 (0),0.6 (0.01)
0.2,1e3,2,256 (8.54),12 (2.3),244 (8.54),0.51 (0.02),0.96 (0.01),0.64 (0.01),0.66 (0.01),0.66 (0.01)
0.2,1e3,3,299 (6.69),13 (2.97),201 (6.69),0.6 (0.01),0.96 (0.01),0.71 (0.02),0.72 (0.01),0.73 (0.01)
0.2,1e3,4,331 (4.56),14 (3.36),169 (4.56),0.66 (0.01),0.96 (0.01),0.75 (0.01),0.77 (0.01),0.78 (0.01)
0.2,1e3,5,353 (3.56),15 (3.46),147 (3.56),0.71 (0.01),0.96 (0.01),0.78 (0.01),0.79 (0.01),0.81 (0.01)
0.3,200,1,345 (5.67),11 (2.74),155 (5.67),0.69 (0.01),0.97 (0.01),0.77 (0.01),0.79 (0.01),0.81 (0.01)
0.3,200,2,372 (5.46),10 (2.59),128 (5.46),0.74 (0.01),0.97 (0.01),0.81 (0.01),0.83 (0.01),0.84 (0.01)
0.3,200,3,376 (7.25),7 (2.97),124 (7.25),0.75 (0.01),0.98 (0.01),0.82 (0.01),0.84 (0.01),0.85 (0.01)
0.3,200,4,377 (8.06),5 (2.79),123 (8.06),0.75 (0.02),0.99 (0.01),0.82 (0.01),0.84 (0.01),0.85 (0.01)
0.3,200,5,378 (7.5),4 (2.28),122 (7.5),0.76 (0.02),0.99 (0.01),0.83 (0.01),0.84 (0.01),0.86 (0.01)
0.3,250,1,337 (1.67),13 (2.49),163 (1.67),0.67 (0),0.96 (0.01),0.76 (0.01),0.78 (0),0.79 (0)
0.3,250,2,377 (4.32),12 (2.74),123 (4.32),0.75 (0.01),0.97 (0.01),0.81 (0.01),0.83 (0.01),0.85 (0.01)
0.3,250,3,385 (5.07),9 (3.29),115 (5.07),0.77 (0.01),0.98 (0.01),0.83 (0.01),0.85 (0.01),0.86 (0.01)
0.3,250,4,388 (4.87),6 (2.7),112 (4.87),0.78 (0.01),0.98 (0.01),0.84 (0.01),0.85 (0.01),0.87 (0.01)
0.3,250,5,391 (5.86),5 (2.79),109 (5.86),0.78 (0.01),0.99 (0.01),0.84 (0.01),0.86 (0.01),0.87 (0.01)
0.3,500,1,338 (7.2),15 (0.71),162 (7.2),0.68 (0.01),0.96 (0),0.76 (0.01),0.78 (0.01),0.79 (0.01)
0.3,500,2,349 (3.13),17 (4.21),151 (3.13),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.79 (0.01),0.8 (0)
0.3,500,3,375 (4.21),13 (3.13),125 (4.21),0.75 (0.01),0.97 (0.01),0.81 (0.01),0.83 (0.01),0.84 (0.01)
0.3,500,4,389 (3.13),12 (2.74),111 (3.13),0.78 (0.01),0.97 (0.01),0.83 (0),0.85 (0.01),0.86 (0)
0.3,500,5,398 (1.79),10 (2.59),102 (1.79),0.8 (0),0.98 (0.01),0.85 (0),0.86 (0),0.88 (0)
0.3,750,1,331 (6.91),14 (2.61),169 (6.91),0.66 (0.01),0.96 (0.01),0.75 (0.01),0.77 (0.01),0.78 (0.01)
0.3,750,2,344 (8.29),17 (3.7),156 (8.29),0.69 (0.02),0.96 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,750,3,350 (3.11),17 (3.78),150 (3.11),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.79 (0.01),0.81 (0)
0.3,750,4,370 (2.61),14 (2.65),130 (2.61),0.74 (0.01),0.96 (0.01),0.8 (0.01),0.82 (0),0.84 (0)
0.3,750,5,384 (2.3),12 (3.32),116 (2.3),0.77 (0),0.97 (0.01),0.83 (0.01),0.84 (0.01),0.86 (0.01)
0.3,1e3,1,323 (7.58),15 (3.78),177 (7.58),0.65 (0.02),0.96 (0.01),0.74 (0.01),0.75 (0.01),0.77 (0.01)
0.3,1e3,2,341 (7.09),15 (2.61),159 (7.09),0.68 (0.01),0.96 (0.01),0.76 (0.01),0.78 (0.01),0.8 (0.01)
0.3,1e3,3,349 (7.16),19 (3.29),151 (7.16),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,1e3,4,352 (4.04),17 (3.78),148 (4.04),0.7 (0.01),0.95 (0.01),0.78 (0.01),0.79 (0.01),0.81 (0.01)
0.3,1e3,5,368 (1.87),14 (2.49),132 (1.87),0.74 (0),0.96 (0.01),0.8 (0.01),0.82 (0),0.83 (0)
0.4,200,1,354 (6.95),12 (2.88),146 (6.95),0.71 (0.01),0.97 (0.01),0.78 (0.01),0.8 (0.01),0.82 (0.01)
0.4,200,2,373 (3.65),9 (4.34),127 (3.65),0.75 (0.01),0.98 (0.01),0.81 (0.01),0.83 (0.01),0.85 (0.01)
0.4,200,3,379 (4.64),7 (3.36),121 (4.64),0.76 (0.01),0.98 (0.01),0.82 (0.01),0.84 (0.01),0.85 (0.01)
0.4,200,4,380 (7.31),6 (3.05),120 (7.31),0.76 (0.01),0.99 (0.01),0.83 (0.01),0.84 (0.01),0.86 (0.01)
0.4,200,5,382 (7.43),4 (3.05),118 (7.43),0.76 (0.01),0.99 (0.01),0.83 (0.01),0.85 (0.01),0.86 (0.01)
0.4,250,1,372 (6.72),15 (3),128 (6.72),0.74 (0.01),0.96 (0.01),0.81 (0.01),0.82 (0.01),0.84 (0.01)
0.4,250,2,378 (4.34),13 (3.58),122 (4.34),0.76 (0.01),0.97 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01)
0.4,250,3,387 (3.65),8 (3.7),113 (3.65),0.77 (0.01),0.98 (0.01),0.83 (0.01),0.85 (0.01),0.86 (0.01)
0.4,250,4,391 (4.34),6 (3.03),109 (4.34),0.78 (0.01),0.98 (0.01),0.84 (0.01),0.86 (0.01),0.87 (0.01)
0.4,250,5,396 (6.06),6 (3.05),104 (6.06),0.79 (0.01),0.99 (0.01),0.85 (0.01),0.86 (0.01),0.88 (0.01)
0.4,500,1,388 (5.59),17 (1.79),112 (5.59),0.78 (0.01),0.96 (0),0.83 (0.01),0.84 (0.01),0.86 (0.01)
0.4,500,2,392 (4.38),20 (4),108 (4.38),0.78 (0.01),0.95 (0.01),0.83 (0),0.84 (0),0.86 (0)
0.4,500,3,381 (2.7),13 (3.7),119 (2.7),0.76 (0.01),0.97 (0.01),0.82 (0.01),0.84 (0.01),0.85 (0)
0.4,500,4,392 (3.61),13 (3.42),108 (3.61),0.78 (0.01),0.97 (0.01),0.83 (0.01),0.85 (0.01),0.87 (0.01)
0.4,500,5,401 (2.86),10 (4.44),99 (2.86),0.8 (0.01),0.98 (0.01),0.85 (0.01),0.87 (0.01),0.88 (0.01)
0.4,750,1,375 (5.55),15 (2.7),125 (5.55),0.75 (0.01),0.96 (0.01),0.81 (0.01),0.83 (0.01),0.84 (0.01)
0.4,750,2,394 (4.04),19 (3.58),106 (4.04),0.79 (0.01),0.96 (0.01),0.84 (0),0.85 (0),0.86 (0)
0.4,750,3,395 (4.36),20 (3.56),105 (4.36),0.79 (0.01),0.95 (0.01),0.83 (0),0.84 (0),0.86 (0)
0.4,750,4,382 (4.1),14 (3.11),118 (4.1),0.76 (0.01),0.97 (0.01),0.82 (0.01),0.83 (0),0.85 (0)
0.4,750,5,390 (2.51),13 (3.61),110 (2.51),0.78 (0.01),0.97 (0.01),0.83 (0.01),0.85 (0.01),0.86 (0.01)
0.4,1e3,1,363 (2),15 (2.51),137 (2),0.73 (0),0.96 (0.01),0.79 (0),0.81 (0.01),0.83 (0.01)
0.4,1e3,2,394 (5.12),17 (2.97),106 (5.12),0.79 (0.01),0.96 (0.01),0.84 (0.01),0.85 (0.01),0.86 (0.01)
0.4,1e3,3,402 (3.65),22 (3.05),98 (3.65),0.8 (0.01),0.95 (0.01),0.85 (0),0.85 (0),0.87 (0)
0.4,1e3,4,397 (3.19),20 (3.71),103 (3.19),0.79 (0.01),0.95 (0.01),0.84 (0),0.85 (0),0.87 (0)
0.4,1e3,5,387 (2.61),16 (2.92),113 (2.61),0.77 (0.01),0.96 (0.01),0.82 (0.01),0.84 (0),0.86 (0)
