delta,adjPval,mLassoRad,minDmrSep,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.2,0.05,1e3,750,416 (9.01),41 (7.45),84 (9.01),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.88 (0.01)
0.2,0.05,1e3,1e3,415 (9.31),41 (7.45),85 (9.31),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01)
0.2,0.1,375,200,236 (9.48),11 (3.54),264 (9.48),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,250,236 (9.36),11 (3.54),264 (9.36),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,500,237 (9.79),11 (3.54),263 (9.79),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,750,237 (9.95),11 (3.54),263 (9.95),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,1e3,238 (10.35),11 (3.63),262 (10.35),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,700,200,345 (7.56),22 (2.28),155 (7.56),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,250,345 (7.56),22 (2.28),155 (7.56),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,500,346 (7.13),22 (2.3),154 (7.13),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,750,346 (6.61),22 (2.3),154 (6.61),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,1e3,346 (6.93),23 (2.17),154 (6.93),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,1e3,200,418 (8.38),41 (7.5),82 (8.38),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,250,418 (8.38),41 (7.5),82 (8.38),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,500,418 (9.21),41 (7.35),82 (9.21),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,750,419 (9.09),41 (7.56),81 (9.09),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,1e3,418 (9.21),41 (7.56),82 (9.21),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.3,0.001,375,200,233 (9.44),10 (2.88),267 (9.44),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,250,233 (9.44),10 (2.88),267 (9.44),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,500,234 (9.81),10 (2.88),266 (9.81),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,750,234 (9.97),10 (2.88),266 (9.97),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,1e3,235 (10.38),10 (2.95),265 (10.38),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,700,200,341 (7.07),22 (1.64),159 (7.07),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,250,341 (7.07),22 (1.64),159 (7.07),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,500,341 (6.66),22 (1.67),159 (6.66),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,750,342 (6.16),22 (1.67),158 (6.16),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,1e3,342 (6.46),23 (1.3),158 (6.46),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,1e3,200,414 (8.71),41 (6.98),86 (8.71),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,250,415 (8.44),41 (6.98),85 (8.44),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,500,415 (9.12),41 (6.76),85 (9.12),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,750,415 (8.85),41 (6.95),85 (8.85),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,1e3,415 (8.97),41 (6.95),85 (8.97),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.01,375,200,235 (9.04),10 (2.88),265 (9.04),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.01,375,250,236 (8.91),10 (2.88),264 (8.91),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.01)
0.3,0.01,375,500,237 (9.86),10 (2.88),263 (9.86),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,375,750,237 (9.98),10 (2.88),263 (9.98),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,375,1e3,238 (10.32),10 (2.95),262 (10.32),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,700,200,345 (6.72),22 (1.64),155 (6.72),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,250,345 (6.72),22 (1.64),155 (6.72),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,500,346 (6.5),22 (1.67),154 (6.5),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,750,346 (5.98),22 (1.67),154 (5.98),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,1e3,346 (6.3),23 (1.3),154 (6.3),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,1e3,200,421 (7.37),41 (6.98),79 (7.37),0.84 (0.01),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,250,421 (7.37),41 (6.98),79 (7.37),0.84 (0.01),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,500,422 (7.97),41 (6.76),78 (7.97),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,750,422 (7.8),41 (6.95),78 (7.8),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,1e3,422 (7.97),41 (6.95),78 (7.97),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.05,375,200,236 (9.04),10 (3.11),264 (9.04),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,250,237 (8.91),10 (3.11),263 (8.91),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.01)
0.3,0.05,375,500,238 (9.86),10 (3.11),262 (9.86),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,750,238 (9.98),10 (3.11),262 (9.98),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,1e3,239 (10.32),10 (3.21),261 (10.32),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,700,200,347 (7.6),23 (1.79),153 (7.6),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,250,347 (7.6),23 (1.79),153 (7.6),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,500,348 (7.13),23 (1.73),152 (7.13),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,750,348 (6.61),23 (1.73),152 (6.61),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,1e3,348 (6.89),23 (1.52),152 (6.89),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,1e3,200,424 (7.79),41 (7.5),76 (7.79),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,250,424 (7.79),41 (7.5),76 (7.79),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,500,425 (8.56),42 (7.29),75 (8.56),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,750,425 (8.43),42 (7.48),75 (8.43),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,1e3,425 (8.56),42 (7.48),75 (8.56),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,375,200,237 (9.57),11 (3.11),263 (9.57),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.1,375,250,237 (9.42),11 (3.11),263 (9.42),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.1,375,500,238 (10.33),11 (3.11),262 (10.33),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,375,750,239 (10.43),11 (3.11),261 (10.43),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,375,1e3,240 (10.69),11 (3.21),260 (10.69),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,700,200,348 (8.04),23 (1.79),152 (8.04),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,250,348 (8.04),23 (1.79),152 (8.04),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,500,349 (7.57),23 (1.73),151 (7.57),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,750,349 (7.05),23 (1.73),151 (7.05),0.7 (0.01),0.95 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,1e3,349 (7.31),23 (1.52),151 (7.31),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,1e3,200,426 (7.99),42 (7.6),74 (7.99),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,1e3,250,426 (7.99),42 (7.6),74 (7.99),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,1e3,500,427 (8.5),42 (7.42),73 (8.5),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,1e3,750,427 (8.4),42 (7.6),73 (8.4),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,1e3,1e3,427 (8.5),42 (7.6),73 (8.5),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.001,375,200,235 (9.48),10 (2.88),265 (9.48),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.4,0.001,375,250,235 (9.36),10 (2.88),265 (9.36),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.4,0.001,375,500,236 (10.3),10 (2.88),264 (10.3),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.4,0.001,375,750,236 (10.45),10 (2.88),264 (10.45),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.4,0.001,375,1e3,237 (10.85),10 (2.95),263 (10.85),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.4,0.001,700,200,345 (6.23),23 (1.52),155 (6.23),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.001,700,250,345 (6.23),23 (1.52),155 (6.23),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.001,700,500,345 (5.97),23 (1.48),155 (5.97),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.001,700,750,346 (5.5),23 (1.48),154 (5.5),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.001,700,1e3,346 (5.86),23 (1.1),154 (5.86),0.69 (0.01),0.95 (0),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.001,1e3,200,419 (8.44),41 (6.98),81 (8.44),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.4,0.001,1e3,250,419 (8.44),41 (6.98),81 (8.44),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.4,0.001,1e3,500,420 (9.22),41 (6.76),80 (9.22),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.4,0.001,1e3,750,420 (8.93),41 (6.95),80 (8.93),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.4,0.001,1e3,1e3,420 (9.04),41 (6.95),80 (9.04),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.4,0.01,375,200,236 (9.18),10 (2.88),264 (9.18),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.01,375,250,236 (9.06),10 (2.88),264 (9.06),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.01,375,500,237 (9.98),10 (2.88),263 (9.98),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.01,375,750,238 (10.11),10 (2.88),262 (10.11),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.01,375,1e3,238 (10.45),10 (2.95),262 (10.45),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.01,700,200,346 (5.94),23 (1.52),154 (5.94),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.01,700,250,346 (5.94),23 (1.52),154 (5.94),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.01,700,500,347 (5.7),23 (1.48),153 (5.7),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.01,700,750,348 (5.22),23 (1.48),152 (5.22),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.01,700,1e3,347 (5.59),23 (1.1),153 (5.59),0.69 (0.01),0.95 (0),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.01,1e3,200,424 (8.5),41 (6.98),76 (8.5),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.01,1e3,250,424 (8.5),41 (6.98),76 (8.5),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.01,1e3,500,424 (9.24),41 (6.76),76 (9.24),0.85 (0.02),0.93 (0.01),0.88 (0.02),0.87 (0.01),0.89 (0.01)
0.4,0.01,1e3,750,425 (9.09),41 (6.95),75 (9.09),0.85 (0.02),0.93 (0.01),0.88 (0.02),0.87 (0.01),0.89 (0.01)
0.4,0.01,1e3,1e3,424 (9.24),41 (6.95),76 (9.24),0.85 (0.02),0.93 (0.01),0.88 (0.02),0.87 (0.01),0.89 (0.01)
0.4,0.05,375,200,237 (9.63),10 (3.11),263 (9.63),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.05,375,250,238 (9.5),10 (3.11),262 (9.5),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.05,375,500,239 (10.43),10 (3.11),261 (10.43),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.05,375,750,239 (10.55),10 (3.11),261 (10.55),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.05,375,1e3,240 (10.86),10 (3.21),260 (10.86),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.05,700,200,349 (6.94),23 (1.64),151 (6.94),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.05,700,250,349 (6.94),23 (1.64),151 (6.94),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.05,700,500,349 (6.73),23 (1.52),151 (6.73),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.05,700,750,350 (6.2),23 (1.52),150 (6.2),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.05,700,1e3,350 (6.5),24 (1.3),150 (6.5),0.7 (0.01),0.95 (0),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.05,1e3,200,426 (7.37),41 (7.5),74 (7.37),0.85 (0.01),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.05,1e3,250,426 (7.37),41 (7.5),74 (7.37),0.85 (0.01),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.05,1e3,500,427 (8.04),42 (7.29),73 (8.04),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.05,1e3,750,428 (7.89),42 (7.48),72 (7.89),0.86 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.05,1e3,1e3,427 (8.04),42 (7.48),73 (8.04),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.1,375,200,237 (9.63),11 (3.11),263 (9.63),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.1,375,250,238 (9.5),11 (3.11),262 (9.5),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.1,375,500,239 (10.43),11 (3.11),261 (10.43),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.1,375,750,239 (10.55),11 (3.11),261 (10.55),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.1,375,1e3,240 (10.86),11 (3.21),260 (10.86),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.4,0.1,700,200,349 (7.12),23 (1.64),151 (7.12),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.1,700,250,349 (7.12),23 (1.64),151 (7.12),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.1,700,500,350 (6.91),23 (1.52),150 (6.91),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.1,700,750,350 (6.39),23 (1.52),150 (6.39),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.1,700,1e3,350 (6.69),24 (1.3),150 (6.69),0.7 (0.01),0.95 (0),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.4,0.1,1e3,200,427 (7.46),42 (7.6),73 (7.46),0.85 (0.01),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.1,1e3,250,427 (7.46),42 (7.6),73 (7.46),0.85 (0.01),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.1,1e3,500,428 (8.14),42 (7.42),72 (8.14),0.86 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.1,1e3,750,428 (8),42 (7.6),72 (8),0.86 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.4,0.1,1e3,1e3,428 (8.14),42 (7.6),72 (8.14),0.86 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
